# la zona non e' un intervallo: si dichiara per insieme di righe
RIGHE = {
    59065, 63655, 76590, 77357, 93695, 94025, 100200, 100265, 126780,
}
# 9 righe, da 59065 a 126780

    # ---------------------------------------------------------- :59065
    (59065, 'These are wings that automatically assault the enemy.'):
        "",

    # ---------------------------------------------------------- :63655
    (63655, 'It is a pair of mechanical side arms.'):
        "",

    # ---------------------------------------------------------- :76590
    (76590, 'It is a pair of mechanical wings.'):
        "",

    # ---------------------------------------------------------- :77357
    (77357, 'It is a cloak used, shabby, and worn out.'):
        "",

    # ---------------------------------------------------------- :93695
    (93695, 'It is a cloak that protects against the etherwind.'):
        "",

    # ---------------------------------------------------------- :94025
    (94025, 'It is a feather ornament to be worn on the back.'):
        "",

    # ---------------------------------------------------------- :100200
    (100200, 'It is a heavy cloak designed for travel.'):
        "",

    # ---------------------------------------------------------- :100265
    (100265, 'It is a reinforced cloak designed for protection.'):
        "",

    # ---------------------------------------------------------- :126780
    (126780, 'It is a light mantle.'):
        "",

# 9 voci, 0 ambigue
