# la zona non e' un intervallo: si dichiara per insieme di righe
RIGHE = {
    68453, 90897, 91525, 91587, 95487, 95549, 95673, 95737, 95799,
}
# 9 righe, da 68453 a 95799

    # ---------------------------------------------------------- :68453
    (68453, 'It is a cherry tree that its blossoms is forever falling.'):
        "",

    # ---------------------------------------------------------- :90897
    (90897, 'It is a decorated fir tree.'):
        "",

    # ---------------------------------------------------------- :91525
    (91525, 'It is evergreen with a scented wood.'):
        "",

    # ---------------------------------------------------------- :91587
    (91587, 'It is a leafless tree.'):
        "",

    # ---------------------------------------------------------- :95487
    (95487, 'It is a deciduous tree.'):
        "",

    # ---------------------------------------------------------- :95549
    (95549, 'It is a tropical tree.'):
        "",

    # ---------------------------------------------------------- :95673
    (95673, 'It is a dead tree.'):
        "",

    # ---------------------------------------------------------- :95737
    (95737, 'It is a fruit tree.'):
        "",

    # ---------------------------------------------------------- :95799
    (95799, 'It is a fruit tree with no fruits.'):
        "",

# 9 voci, 0 ambigue
